x,y,z,Real(Ex),Imag(Ex),Real(Ey),Imag(Ey),Real(Ez),Imag(Ez),Abs(E)
-0.0060000000000000001,-0.0050000000000000001,0.0014,4.494475910194971,2.7655734862871033,-6.442665200926115,-2.7621769777847454,-14.690532506198084,30.091437745289397,34.616363729564306
-0.0060000000000000001,-0.0040000000000000001,0.0014,6.806985028107633,9.771380615053623,-6.663715182986265,-2.0846225958736655,-31.939589984211025,37.40973680065405,51.09003319198412
-0.0060000000000000001,-0.0030000000000000001,0.0014,7.739719258180386,14.1554342622521,-5.228032704754025,-7.090117012566273,-48.961767675240445,38.4326855691923,64.901522882802
-0.0060000000000000001,-0.002,0.0014,3.126565241390005,23.355251615843958,-3.9733010328682066,-11.200963447446078,-68.558919473259,32.069204006620694,80.15766448977872
-0.0060000000000000001,-0.001,0.0014,-0.2992878908657133,46.418751115973436,-2.237896399065349,-16.41620272364376,-87.43371271411573,25.69822217236593,103.60667286598786
-0.0060000000000000001,0,0.0014,-14.011615241115493,50.55395481717477,3.0690604858434654,-38.37582939690435,-102.31392091856608,37.29097870323339,126.85782053095379
-0.0060000000000000001,0.001,0.0014,-18.076653346404996,34.21697612304915,4.46474703085641,-19.102950303995215,-113.00918691182235,30.593179563460403,124.85768894966459
-0.0060000000000000001,0.002,0.0014,-20.305969948860678,44.06559139551566,5.0040681611734215,-14.449728484663627,-113.53776689999256,37.88819158584575,130.05492565191656
-0.0060000000000000001,0.0030000000000000001,0.0014,-21.36682854346584,27.36898438473752,3.18211808242862,-6.666286448113067,-104.25350239089391,47.151228498181666,119.80066372275469
-0.0060000000000000001,0.0040000000000000001,0.0014,-17.91469493884712,21.556431227812638,-3.2054927106415363,-1.0748531560004757,-81.82808545612173,56.10305174682927,103.15248179068729
-0.0060000000000000001,0.0050000000000000001,0.0014,-12.44832367524203,16.18319175748497,6.5411992524726745,2.907785045344843,-53.52154706441522,56.62801646719193,80.86647765601379
-0.0050000000000000001,-0.0050000000000000001,0.0014,3.9694604022733877,7.535636636971326,-1.9880452820741734,1.9498634902396095,-24.13398639535432,33.39443722650804,42.16556016573432
-0.0050000000000000001,-0.0040000000000000001,0.0014,1.7405871438462208,13.204481603485034,-3.4382561423626825,0.0834211584022082,-48.80175489264807,27.344151206714812,57.60668735685159
-0.0050000000000000001,-0.0030000000000000001,0.0014,-7.2640991521137455,24.808637282979948,-6.75542574680432,3.956759461890435,-66.37578808754103,14.701272481010221,73.15326376583009
-0.0050000000000000001,-0.002,0.0014,-22.55487372632227,28.78084670149236,-3.858084635440946,-6.0075602504844525,-81.9160250352734,0.9100853958028905,89.99499139335347
-0.0050000000000000001,-0.001,0.0014,-38.482940556611126,25.8297528669963,2.6507829441092454,-10.644760976940677,-96.48994879909439,-13.46882468826005,108.44431700767767
-0.0050000000000000001,0,0.0014,-53.59462561235292,17.00633276313892,6.754550191212125,-18.069900603354128,-113.08114694940895,-23.4923383562707,129.89603635800023
-0.0050000000000000001,0.001,0.0014,-70.03742272179733,8.151414431496416,21.993157027387795,-16.316093523132327,-135.62868158358762,-30.37799872538581,158.23893982611997
-0.0050000000000000001,0.002,0.0014,-76.70823449030745,11.454052792694895,18.852191377087557,-8.364719949423844,-151.06400260462945,-26.016790098834814,173.0258029125332
-0.0050000000000000001,0.0030000000000000001,0.0014,-66.70441515795375,10.792063000769343,22.8446264463785,-5.187395950070812,-151.8015850768715,-12.720813338710501,168.28628578539482
-0.0050000000000000001,0.0040000000000000001,0.0014,-44.53413155596738,14.850285617098752,15.387782490631878,-4.2286768413050915,-120.22270454489284,18.014654610296425,131.28789694018894
-0.0050000000000000001,0.0050000000000000001,0.0014,-27.719032067340162,16.96641091205165,13.339353041434023,1.0861132755532896,-91.06220675080549,40.18437139696543,105.5577141780451
-0.0040000000000000001,-0.0050000000000000001,0.0014,2.909043064115515,7.728865553478643,1.4821155909705475,5.261782602047623,-38.445464383805785,28.3622532455162,48.790901384562574
-0.0040000000000000001,-0.0040000000000000001,0.0014,-5.133430195772381,18.045158988271492,-4.423865282206307,8.14355017165434,-58.836951404615014,6.309987218033837,62.765202550465844
-0.0040000000000000001,-0.0030000000000000001,0.0014,-14.696003368177958,20.429694405129105,-7.306975788252387,3.447899530040745,-65.19125853940994,-15.399437380167555,72.01158029373967
-0.0040000000000000001,-0.002,0.0014,-26.82047486646524,17.982422473084114,-8.272961105983196,-3.9418178953130347,-64.58586747326716,-34.718520725769565,80.64363063816147
-0.0040000000000000001,-0.001,0.0014,-50.595979510911704,11.176488069246314,7.3521696781727695,-8.42276577942338,-71.13191410378161,-60.336751134693976,107.28530725192536
-0.0040000000000000001,0,0.0014,-94.8288042005886,-13.025365764842476,10.056964119692083,-15.155974388300287,-75.47434725381527,-77.06218602269044,145.35462137259455
-0.0040000000000000001,0.001,0.0014,-168.71593364183394,-64.2971899441734,23.844004880643297,-13.260393517908653,-127.64609195034198,-108.20865891430108,247.68166698118267
-0.0040000000000000001,0.002,0.0014,-197.2006771627033,-75.19144254907144,54.302599295101544,3.8461780884434944,-139.68289700202655,-92.68109985548449,274.96640425228765
-0.0040000000000000001,0.0030000000000000001,0.0014,-146.57803926256474,-42.364261553232616,79.55886156899376,15.78673473857971,-138.3227496504826,-61.88165866614099,229.8286501918595
-0.0040000000000000001,0.0040000000000000001,0.0014,-69.20737836008763,-2.495469435469536,35.55448204922584,-7.7089380394504445,-128.56584673476803,-25.222586962579246,152.59355604473353
