far field @z=0.150000
freq=27000000000.000000
sampling point=3600
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.000000,0.000000,-0.150000,0.416009,-0.009881,-0.053106,1.230723,-0.740041,-0.054185
-0.007983,0.000000,-0.149787,0.791501,0.061060,-0.100264,0.982637,-0.638275,-0.113316
-0.015944,0.000000,-0.149150,1.200213,0.147657,-0.188067,0.740882,-0.516574,-0.144812
-0.023860,0.000000,-0.148090,1.625966,0.246957,-0.320152,0.519033,-0.378441,-0.151590
-0.031707,0.000000,-0.146611,2.051258,0.355485,-0.497116,0.329126,-0.227937,-0.139036
-0.039465,0.000000,-0.144715,2.458369,0.469453,-0.716380,0.180756,-0.069463,-0.114523
-0.047112,0.000000,-0.142410,2.830503,0.584981,-0.972325,0.080410,0.092477,-0.086725
-0.054624,0.000000,-0.139700,3.152832,0.698326,-1.256677,0.031101,0.253501,-0.064831
-0.061982,0.000000,-0.136595,3.413376,0.806084,-1.559112,0.032330,0.409571,-0.057743
-0.069164,0.000000,-0.133103,3.603638,0.905360,-1.868014,0.080353,0.557168,-0.073356
-0.076150,0.000000,-0.129233,3.718934,0.993888,-2.171306,0.168711,0.693434,-0.117979
-0.082920,0.000000,-0.124997,3.758437,1.070103,-2.457274,0.288934,0.816255,-0.195964
-0.089455,0.000000,-0.120407,3.724922,1.133154,-2.715313,0.431346,0.924307,-0.309555
-0.095737,0.000000,-0.115475,3.624288,1.182877,-2.936521,0.585864,1.017040,-0.458961
-0.101747,0.000000,-0.110216,3.464897,1.219720,-3.114114,0.742724,1.094628,-0.642609
-0.107469,0.000000,-0.104645,3.256833,1.244645,-3.243632,0.893064,1.157888,-0.857539
-0.112886,0.000000,-0.098777,3.011129,1.259006,-3.322953,1.029331,1.208162,-1.099881
-0.117983,0.000000,-0.092629,2.739054,1.264430,-3.352133,1.145503,1.247206,-1.365348
-0.122745,0.000000,-0.086218,2.451496,1.262687,-3.333120,1.237128,1.277055,-1.649704
-0.127160,0.000000,-0.079563,2.158478,1.255588,-3.269377,1.301210,1.299902,-1.949163
-0.131214,0.000000,-0.072683,1.868829,1.244881,-3.165482,1.335980,1.317993,-2.260694
-0.134897,0.000000,-0.065596,1.589998,1.232185,-3.026731,1.340590,1.333518,-2.582216
-0.138197,0.000000,-0.058324,1.327989,1.218924,-2.858791,1.314763,1.348543,-2.912697
-0.141105,0.000000,-0.050886,1.087413,1.206299,-2.667422,1.258451,1.364935,-3.252157
-0.143613,0.000000,-0.043304,0.871590,1.195265,-2.458284,1.171498,1.384324,-3.601598
