#data
R,THETA,PHI,abs|E|
100,120,125,0
100,125,125,0
100,130,125,0
100,135,125,0
100,140,125,0
100,145,125,0
100,150,125,0
100,155,125,0
100,160,125,0
100,165,125,0
100,170,125,0
100,175,125,0
100,180,125,0
100,0,130,2.59796
100,5,130,2.72337
100,10,130,2.90622
100,15,130,3.12389
100,20,130,3.35417
100,25,130,3.57813
100,30,130,3.78185
100,35,130,3.95714
100,40,130,4.10123
100,45,130,4.2156
100,50,130,4.30453
100,55,130,4.37349
100,60,130,4.42787
100,65,130,4.47198
100,70,130,4.50852
100,75,130,4.53842
100,80,130,4.56119
100,85,130,4.57564
100,90,130,4.58061
100,95,130,0
100,100,130,0
100,105,130,0
100,110,130,0
100,115,130,0
100,120,130,0
100,125,130,0
100,130,130,0
100,135,130,0
100,140,130,0
100,145,130,0
100,150,130,0
100,155,130,0
100,160,130,0
100,165,130,0
100,170,130,0
100,175,130,0
100,180,130,0
100,0,135,2.59796
100,5,135,2.72796
100,10,135,2.9275
100,15,135,3.16967
100,20,135,3.42843
100,25,135,3.68213
100,30,135,3.91536
100,35,135,4.11942
100,40,135,4.29164
100,45,135,4.43388
100,50,135,4.55073
100,55,135,4.64764
100,60,135,4.72954
100,65,135,4.7999
100,70,135,4.86028
100,75,135,4.91036
100,80,135,4.94851
100,85,135,4.97258
100,90,135,4.98083
100,95,135,0
100,100,135,0
100,105,135,0
100,110,135,0
100,115,135,0
100,120,135,0
100,125,135,0
100,130,135,0
100,135,135,0
100,140,135,0
100,145,135,0
100,150,135,0
100,155,135,0
100,160,135,0
100,165,135,0
100,170,135,0
100,175,135,0
100,180,135,0
100,0,140,2.59796
100,5,140,2.73189
100,10,140,2.9474
100,15,140,3.21337
100,20,140,3.50005
100,25,140,3.78336
100,30,140,4.04658
100,35,140,4.28054
100,40,140,4.48251
100,45,140,4.65444
100,50,140,4.80078
100,55,140,4.92658
100,60,140,5.03603
100,65,140,5.13166
100,70,140,5.21406
100,75,140,5.28208
100,80,140,5.33346
100,85,140,5.36562
100,90,140,5.37659
100,95,140,0
100,100,140,0
100,105,140,0
100,110,140,0
100,115,140,0
100,120,140,0
100,125,140,0
100,130,140,0
100,135,140,0
100,140,140,0
100,145,140,0
100,150,140,0
100,155,140,0
100,160,140,0
100,165,140,0
100,170,140,0
100,175,140,0
100,180,140,0
100,0,145,2.59796
100,5,145,2.73495
100,10,145,2.96523
100,15,145,3.25361
100,20,145,3.56695
100,25,145,3.87899
100,30,145,4.17186
